ファイル名,緯度,経度,標高(m),撮影日時,備考
IMG_1508.JPG,37.47219444,137.09399444,11.24,2026:09:23 06:56:04,OK
IMG_1509.JPG,37.47257222,137.09437500,15.32,2026:09:23 06:56:53,OK
IMG_1510.JPG,37.47247222,137.09458889,16.70,2026:09:23 06:57:17,OK
IMG_1511.JPG,37.47293889,137.09649722,36.91,2026:09:23 07:00:35,OK
IMG_1512.JPG,37.47299444,137.09649722,37.66,2026:09:23 07:00:50,OK
IMG_1513.MOV,37.47330000,137.09670000,37.47,2026:09:23 07:01:44,OK(動画)
IMG_1514.JPG,37.47326389,137.09690833,43.98,2026:09:23 07:02:38,OK
IMG_1515.JPG,37.47343056,137.09774722,43.04,2026:09:23 07:03:11,OK
IMG_1516.JPG,37.47342222,137.09782500,48.94,2026:09:23 07:03:18,OK
IMG_1517.JPG,37.47343889,137.09783889,48.39,2026:09:23 07:03:27,OK
IMG_1518.JPG,37.47306389,137.09821944,57.12,2026:09:23 07:04:37,OK
IMG_1519.JPG,37.47354167,137.09951667,73.99,2026:09:23 07:06:44,OK
IMG_1520.JPG,37.47344167,137.09953333,75.53,2026:09:23 07:06:52,OK
IMG_1521.JPG,37.47324444,137.09945556,74.29,2026:09:23 07:07:20,OK
IMG_1522.JPG,37.47323611,137.09944167,74.79,2026:09:23 07:07:25,OK
IMG_1523.JPG,37.47318889,137.09950278,75.47,2026:09:23 07:07:39,OK
IMG_1524.JPG,37.47321389,137.09962500,76.24,2026:09:23 07:07:56,OK
IMG_1525.JPG,37.47321389,137.09962500,76.14,2026:09:23 07:08:06,OK
IMG_1526.JPG,37.47319722,137.09959444,75.31,2026:09:23 07:08:15,OK
IMG_1527.JPG,37.47329722,137.09976111,76.66,2026:09:23 07:08:40,OK
IMG_1528.JPG,37.47335000,137.09983889,77.84,2026:09:23 07:08:50,OK
IMG_1529.JPG,37.47343611,137.10014444,79.40,2026:09:23 07:09:25,OK
IMG_1530.JPG,37.47337778,137.10014444,79.42,2026:09:23 07:09:36,OK
IMG_1531.JPG,37.47327778,137.10015833,79.15,2026:09:23 07:09:54,OK
IMG_1532.JPG,37.47321667,137.10018889,81.55,2026:09:23 07:10:21,OK
IMG_1533.MOV,37.47320000,137.10020000,81.24,2026:09:23 07:10:27,OK(動画)
IMG_1534.JPG,37.47286667,137.10066111,89.22,2026:09:23 07:12:22,OK
IMG_1535.JPG,37.47280833,137.10083056,92.16,2026:09:23 07:12:39,OK
IMG_1536.JPG,37.47267222,137.10115000,96.15,2026:09:23 07:13:07,OK
IMG_1537.JPG,37.47267222,137.10115000,96.27,2026:09:23 07:13:10,OK
IMG_1538.JPG,37.47267222,137.10115000,96.61,2026:09:23 07:13:13,OK
IMG_1539.JPG,37.47267500,137.10115000,96.94,2026:09:23 07:13:17,OK
IMG_1540.JPG,37.47267222,137.10115000,96.78,2026:09:23 07:13:22,OK
IMG_1541.JPG,37.47256944,137.10141111,97.76,2026:09:23 07:14:05,OK
IMG_1542.JPG,37.47250556,137.10151667,100.80,2026:09:23 07:14:21,OK
IMG_1543.JPG,37.47232500,137.10188333,107.62,2026:09:23 07:15:00,OK
IMG_1544.JPG,37.47233056,137.10186667,108.29,2026:09:23 07:15:06,OK
IMG_1545.MOV,37.47270000,137.10120000,104.62,2026:09:23 07:16:01,OK(動画)
IMG_1546.JPG,37.47282222,137.10052500,89.57,2026:09:23 07:16:56,OK
IMG_1547.JPG,37.47324444,137.10015833,80.68,2026:09:23 07:18:21,OK
IMG_1548.JPG,37.47345556,137.09996111,78.58,2026:09:23 07:18:53,OK
IMG_1549.JPG,37.47344722,137.09996111,78.82,2026:09:23 07:18:56,OK
IMG_1550.JPG,37.47330278,137.09976111,76.27,2026:09:23 07:19:20,OK
IMG_1551.JPG,37.47330278,137.09976111,76.77,2026:09:23 07:19:25,OK
IMG_1552.JPG,37.47319444,137.09948611,74.37,2026:09:23 07:19:51,OK
IMG_1553.JPG,37.47388056,137.09963889,75.93,2026:09:23 07:21:00,OK
IMG_1554.JPG,37.47343056,137.09873889,70.31,2026:09:23 07:22:32,OK
IMG_1555.JPG,37.47342778,137.09873889,69.50,2026:09:23 07:22:39,OK
IMG_1556.JPG,37.47343056,137.09872500,69.29,2026:09:23 07:22:44,OK
IMG_1557.JPG,37.47341944,137.09870833,68.80,2026:09:23 07:22:53,OK
IMG_1558.JPG,37.47285000,137.09648056,35.95,2026:09:23 07:26:25,OK
IMG_1559.JPG,37.47285000,137.09648056,35.89,2026:09:23 07:26:29,OK
IMG_1560.JPG,37.47282222,137.09646667,35.16,2026:09:23 07:26:41,OK
IMG_1561.MOV,37.47280000,137.09650000,35.46,2026:09:23 07:26:59,OK(動画)
IMG_1562.JPG,37.47246389,137.09599167,34.80,2026:09:23 07:27:57,OK
IMG_1563.JPG,37.47246111,137.09599167,34.52,2026:09:23 07:28:01,OK
IMG_1564.JPG,37.47248611,137.09591667,32.94,2026:09:23 07:28:58,OK
IMG_1565.JPG,37.47243611,137.09587222,33.82,2026:09:23 07:29:02,OK
